Date Local,Latitude,Longitude,Ozone (ppm),State Name
2020-07-29,33.545278,-86.54916700000003,0.016235,Alabama
2020-07-30,33.545278,-86.54916700000003,0.017118,Alabama
2020-07-31,33.545278,-86.54916700000003,0.015882,Alabama
2020-07-01,33.801667,-86.9425,0.027,Alabama
2020-07-02,33.801667,-86.9425,0.029176,Alabama
2020-07-03,33.801667,-86.9425,0.036235,Alabama
2020-07-04,33.801667,-86.9425,0.036353,Alabama
2020-07-05,33.801667,-86.9425,0.030824,Alabama
2020-07-06,33.801667,-86.9425,0.029765,Alabama
2020-07-07,33.801667,-86.9425,0.030941,Alabama
2020-07-08,33.801667,-86.9425,0.019765,Alabama
2020-07-09,33.801667,-86.9425,0.018412,Alabama
2020-07-10,33.801667,-86.9425,0.028412,Alabama
2020-07-11,33.801667,-86.9425,0.034412,Alabama
2020-07-12,33.801667,-86.9425,0.027647,Alabama
2020-07-13,33.801667,-86.9425,0.031294,Alabama
2020-07-14,33.801667,-86.9425,0.032353,Alabama
2020-07-15,33.801667,-86.9425,0.035706,Alabama
2020-07-16,33.801667,-86.9425,0.038941,Alabama
2020-07-17,33.801667,-86.9425,0.041118,Alabama
2020-07-18,33.801667,-86.9425,0.041647,Alabama
2020-07-19,33.801667,-86.9425,0.031,Alabama
2020-07-20,33.801667,-86.9425,0.029353,Alabama
2020-07-21,33.801667,-86.9425,0.026765,Alabama
2020-07-22,33.801667,-86.9425,0.034176,Alabama
2020-07-23,33.801667,-86.9425,0.027529,Alabama
2020-07-24,33.801667,-86.9425,0.024353,Alabama
2020-07-25,33.801667,-86.9425,0.029059,Alabama
2020-07-26,33.801667,-86.9425,0.026471,Alabama
2020-07-27,33.801667,-86.9425,0.022059,Alabama
2020-07-28,33.801667,-86.9425,0.025588,Alabama
2020-07-29,33.801667,-86.9425,0.019176,Alabama
2020-07-30,33.801667,-86.9425,0.017824,Alabama
2020-07-31,33.801667,-86.9425,0.020824,Alabama
2020-07-01,33.578333,-86.773889,0.026,Alabama
2020-07-02,33.578333,-86.773889,0.021882,Alabama
2020-07-03,33.578333,-86.773889,0.031529,Alabama
2020-07-04,33.578333,-86.773889,0.028765,Alabama
2020-07-05,33.578333,-86.773889,0.021941,Alabama
2020-07-06,33.578333,-86.773889,0.023385,Alabama
2020-07-07,33.578333,-86.773889,0.022941,Alabama
2020-07-08,33.578333,-86.773889,0.022,Alabama
2020-07-09,33.578333,-86.773889,0.017667,Alabama
2020-07-10,33.578333,-86.773889,0.022471,Alabama
2020-07-11,33.578333,-86.773889,0.028294,Alabama
2020-07-12,33.578333,-86.773889,0.020882,Alabama
2020-07-13,33.578333,-86.773889,0.026765,Alabama
2020-07-14,33.578333,-86.773889,0.037353,Alabama
2020-07-15,33.578333,-86.773889,0.039529,Alabama
2020-07-16,33.578333,-86.773889,0.033176,Alabama
2020-07-17,33.578333,-86.773889,0.031353,Alabama
2020-07-18,33.578333,-86.773889,0.034882,Alabama
2020-07-19,33.578333,-86.773889,0.025882,Alabama
2020-07-28,33.578333,-86.773889,0.024688,Alabama
2020-07-29,33.578333,-86.773889,0.014706,Alabama
2020-07-30,33.578333,-86.773889,0.013353,Alabama
2020-07-31,33.578333,-86.773889,0.017059,Alabama
2020-07-01,30.770181,-88.087761,0.014176,Alabama
2020-07-02,30.770181,-88.087761,0.013118,Alabama
2020-07-03,30.770181,-88.087761,0.024059,Alabama
2020-07-04,30.770181,-88.087761,0.023529,Alabama
2020-07-05,30.770181,-88.087761,0.027,Alabama
2020-07-06,30.770181,-88.087761,0.019235,Alabama
2020-07-07,30.770181,-88.087761,0.011412,Alabama
2020-07-08,30.770181,-88.087761,0.009824,Alabama
2020-07-09,30.770181,-88.087761,0.013824,Alabama
2020-07-10,30.770181,-88.087761,0.015824,Alabama
2020-07-11,30.770181,-88.087761,0.022,Alabama
2020-07-12,30.770181,-88.087761,0.030412,Alabama
2020-07-13,30.770181,-88.087761,0.028353,Alabama
2020-07-14,30.770181,-88.087761,0.025471,Alabama
2020-07-15,30.770181,-88.087761,0.018588,Alabama
2020-07-16,30.770181,-88.087761,0.022,Alabama
2020-07-17,30.770181,-88.087761,0.025647,Alabama
2020-07-18,30.770181,-88.087761,0.019471,Alabama
2020-07-19,30.770181,-88.087761,0.014176,Alabama
2020-07-20,30.770181,-88.087761,0.013706,Alabama
2020-07-21,30.770181,-88.087761,0.015882,Alabama
2020-07-22,30.770181,-88.087761,0.019412,Alabama
2020-07-23,30.770181,-88.087761,0.023286,Alabama
2020-07-24,30.770181,-88.087761,0.020647,Alabama
2020-07-25,30.770181,-88.087761,0.017647,Alabama
2020-07-26,30.770181,-88.087761,0.014529,Alabama
2020-07-27,30.770181,-88.087761,0.015385,Alabama
2020-07-28,30.770181,-88.087761,0.019176,Alabama
2020-07-29,30.770181,-88.087761,0.010235,Alabama
2020-07-30,30.770181,-88.087761,0.019824,Alabama
2020-07-31,30.770181,-88.087761,0.025083,Alabama
2020-07-01,30.474305,-88.14102199999998,0.018176,Alabama
2020-07-02,30.474305,-88.14102199999998,0.014235,Alabama
2020-07-03,30.474305,-88.14102199999998,0.026412,Alabama
2020-07-04,30.474305,-88.14102199999998,0.022882,Alabama
2020-07-05,30.474305,-88.14102199999998,0.026353,Alabama
2020-07-06,30.474305,-88.14102199999998,0.019765,Alabama
2020-07-07,30.474305,-88.14102199999998,0.012588,Alabama
2020-07-08,30.474305,-88.14102199999998,0.012824,Alabama
2020-07-09,30.474305,-88.14102199999998,0.019353,Alabama
2020-07-10,30.474305,-88.14102199999998,0.020059,Alabama
2020-07-11,30.474305,-88.14102199999998,0.02,Alabama
2020-07-12,30.474305,-88.14102199999998,0.034588,Alabama
2020-07-13,30.474305,-88.14102199999998,0.024353,Alabama
2020-07-14,30.474305,-88.14102199999998,0.023214,Alabama
2020-07-15,30.474305,-88.14102199999998,0.022176,Alabama
2020-07-16,30.474305,-88.14102199999998,0.018941,Alabama
2020-07-17,30.474305,-88.14102199999998,0.019824,Alabama
2020-07-18,30.474305,-88.14102199999998,0.018588,Alabama
2020-07-19,30.474305,-88.14102199999998,0.010882,Alabama
2020-07-20,30.474305,-88.14102199999998,0.010118,Alabama
2020-07-21,30.474305,-88.14102199999998,0.021,Alabama
2020-07-22,30.474305,-88.14102199999998,0.022,Alabama
2020-07-23,30.474305,-88.14102199999998,0.022588,Alabama
2020-07-24,30.474305,-88.14102199999998,0.020706,Alabama
2020-07-25,30.474305,-88.14102199999998,0.017,Alabama
2020-07-26,30.474305,-88.14102199999998,0.015765,Alabama
2020-07-27,30.474305,-88.14102199999998,0.012,Alabama
2020-07-28,30.474305,-88.14102199999998,0.020176,Alabama
2020-07-29,30.474305,-88.14102199999998,0.015235,Alabama
2020-07-30,30.474305,-88.14102199999998,0.018882,Alabama
2020-07-31,30.474305,-88.14102199999998,0.022083,Alabama
2020-07-01,32.412811,-86.26339399999998,0.024059,Alabama
2020-07-02,32.412811,-86.26339399999998,0.023118,Alabama
2020-07-03,32.412811,-86.26339399999998,0.023118,Alabama
2020-07-04,32.412811,-86.26339399999998,0.026824,Alabama
2020-07-05,32.412811,-86.26339399999998,0.024941,Alabama
2020-07-06,32.412811,-86.26339399999998,0.018882,Alabama
2020-07-07,32.412811,-86.26339399999998,0.019824,Alabama
2020-07-08,32.412811,-86.26339399999998,0.018294,Alabama
2020-07-09,32.412811,-86.26339399999998,0.019176,Alabama
2020-07-10,32.412811,-86.26339399999998,0.021,Alabama
2020-07-11,32.412811,-86.26339399999998,0.030118,Alabama
2020-07-12,32.412811,-86.26339399999998,0.028118,Alabama
2020-07-13,32.412811,-86.26339399999998,0.038,Alabama
2020-07-15,32.412811,-86.26339399999998,0.019,Alabama
2020-07-16,32.412811,-86.26339399999998,0.026294,Alabama
2020-07-17,32.412811,-86.26339399999998,0.024059,Alabama
2020-07-18,32.412811,-86.26339399999998,0.026176,Alabama
2020-07-19,32.412811,-86.26339399999998,0.027529,Alabama
2020-07-20,32.412811,-86.26339399999998,0.025882,Alabama
2020-07-21,32.412811,-86.26339399999998,0.020235,Alabama
2020-07-22,32.412811,-86.26339399999998,0.022118,Alabama
2020-07-23,32.412811,-86.26339399999998,0.019235,Alabama
2020-07-24,32.412811,-86.26339399999998,0.018706,Alabama
2020-07-25,32.412811,-86.26339399999998,0.018882,Alabama
2020-07-26,32.412811,-86.26339399999998,0.016118,Alabama
2020-07-27,32.412811,-86.26339399999998,0.019412,Alabama
2020-07-28,32.412811,-86.26339399999998,0.020176,Alabama
2020-07-29,32.412811,-86.26339399999998,0.018471,Alabama
2020-07-30,32.412811,-86.26339399999998,0.014,Alabama
2020-07-31,32.412811,-86.26339399999998,0.01925,Alabama
2020-07-06,34.530717,-86.967536,0.007125,Alabama
2020-07-07,34.530717,-86.967536,0.020059,Alabama
